Lat.,Long.,Titolo,Id,Nr. Incendio,Data Incendio,Ora Accertamento,Ora Richiesta,Regione,Provincia,Comune,Località,DMS_lat,DMS_lon
41.743,16.141,,15789,1,07/06/2022,07/06/2022 05:30,06:07,Puglia,Foggia,Mattinata,Baia delle Zagare,41° 44' 34'' N,16° 08' 27'' E
41.742,16.135,,15790,2,07/06/2022,07/06/2022 09:00,12:17,Puglia,Foggia,Mattinata,Scapone,41° 44' 31'' N,16° 08' 06'' E
39.96,15.884,,15791,3,07/06/2022,07/06/2022 14:18,14:30,Calabria,Cosenza,Tortora,Sant'Elia,39° 57' 36'' N,15° 53' 02'' E
38.979,16.253,,15792,4,07/06/2022,07/06/2022 16:00,16:13,Calabria,Catanzaro,Lamezia Terme,Vonio,38° 58' 44'' N,16° 15' 10'' E
40.826,16.411,,15793,5,07/06/2022,07/06/2022 15:50,16:14,Puglia,Bari,Gravina in Puglia,Capotenda,40° 49' 33'' N,16° 24' 39'' E
42.121,13.033,,15794,6,07/06/2022,07/06/2022 17:40,18:13,Abruzzo,L'Aquila,Carsoli,POGGIO CINOLFO,42° 07' 15'' N,13° 01' 58'' E
37.607,15.016,,15786,1,06/06/2022,06/06/2022 15:15,15:25,Sicilia,Catania,Nicolosi,Monpileri,37° 36' 25'' N,15° 00' 57'' E
40.636,17.982,,15787,2,06/06/2022,06/06/2022 16:00,16:18,Puglia,Brindisi,Brindisi,zona industriale,40° 38' 09'' N,17° 58' 55'' E
41.742,16.135,,15788,3,06/06/2022,06/06/2022 17:00,18:51,Puglia,Foggia,Mattinata,BAIA DELLE ZAGARE,41° 44' 31'' N,16° 08' 06'' E
41.483,13.278,,15783,1,05/06/2022,05/06/2022 14:30,15:05,Lazio,Latina,Prossedi,Pisterzo,41° 28' 58'' N,13° 16' 40'' E
37.622,14.931,,15784,2,05/06/2022,05/06/2022 11:54,15:26,Sicilia,Catania,Ragalna,Monte Capreria,37° 37' 19'' N,14° 55' 51'' E
38.422,16.126,,15785,3,05/06/2022,05/06/2022 17:40,17:47,Calabria,Reggio di Calabria,Cinquefrondi,Monte limina,38° 25' 19'' N,16° 07' 33'' E
39.522,16.299,,15778,1,04/06/2022,04/06/2022 07:18,07:23,Calabria,Cosenza,Bisignano,Rottani,39° 31' 19'' N,16° 17' 56'' E
38.047,13.379,,15779,2,04/06/2022,04/06/2022 12:41,12:55,Sicilia,Palermo,Belmonte Mezzagno,BELMONTE MEZZAGNO,38° 02' 49'' N,13° 22' 44'' E
37.308,13.565,,15780,3,04/06/2022,04/06/2022 15:26,15:35,Sicilia,Agrigento,Agrigento,FONDACAZZO,37° 18' 28'' N,13° 33' 53'' E
38.012,13.979,,15781,4,04/06/2022,04/06/2022 15:39,15:52,Sicilia,Palermo,Cefalù,CAMPELLA,38° 00' 43'' N,13° 58' 44'' E
37.268,13.67,,15782,5,04/06/2022,04/06/2022 15:37,17:00,Sicilia,Agrigento,Favara,MINIERA  LUCIA(ZOLFO),37° 16' 04'' N,13° 40' 11'' E
42.497,12.486,,15777,1,03/06/2022,03/06/2022 14:06,14:23,Umbria,Terni,Narni,Taizzano,42° 29' 49'' N,12° 29' 09'' E
